conservation abbreviation
EX = Extinct
EW = Extinct in the wild
CR = Critically Endangered
EN = Endangered
VU = Vulnerable
NT = Near Threatened
LC = Least Concern
DD = Data deficient
NE = Not evaluated
PE = Probably extinct (informal)
PEW = Probably extinct in the wild (informal)
